Calendar Year Filed,Violation State,Number of Filed Cases,Number of Filed Cases with a Race Basis,Number of Filed Cases with an Asian Race Basis,Number of Filed Cases with an Asian and White Race Basis,Number of Filed Cases with a Black or African-American Race Basis,Number of Filed Cases with a Black and White Race Basis,Number of Filed Cases with a Hawaiian or Pacific-Islander Race Basis,Number of Filed Cases with a Native American Race Basis,Number of Filed Cases with a Native American and Black  Race Basis,Number of Filed Cases with a Native American and White Race Basis,Number of Filed Cases with a White Race Basis,Number of Filed Cases with an Other Mult-Racial Race Basis,Number of Filed Cases with a Color Basis,Number of Filed Cases with a National Origin Basis,Number of Filed Cases with an Hispanic National Origin Basis,Number of Filed Cases with a Disability Basis,Number of Filed Cases with a Familial Status Basis,Number of Filed Cases with a Religion Basis,Number of Filed Cases with a Sex Basis,Number of Filed Cases with a Retaliation Basis,Number of Charges,Number of Administrative Closures,Number of Conciliations and Settlements,Number of Withdrawals after Resolution,Number of No Reasonable Cause Determinations,Number of Department of Justice Closures,Number of Post-Cause Closures by State and Local Partner Agencies,Number of Administrative Law Judge Closures,Number of Elections to Federal District Court,Number of Appeals or Supreme Court Closures,Number of Open Cases
2002,Connecticut,107,23,1,,21,,,,,,1,,1,20,9,52,19,2,13,8,,11,27,15,38,,12,,,,
2002,Delaware,32,12,,,12,,,,,,,,1,4,2,9,10,,3,,,1,20,5,4,1,1,,,,
2002,District of Columbia,33,8,,,6,,,,,,2,,3,12,12,10,2,,2,3,,8,14,2,4,,2,,,,
2002,Florida,608,205,3,,178,,,1,,,26,,14,75,47,256,107,13,48,21,7,81,112,57,318,,16,,7,,
2002,Georgia,191,104,2,,96,,,,,,6,,2,13,11,65,27,6,36,1,,20,25,12,127,2,3,,,,
2002,Hawaii,56,14,2,,6,,2,1,,,4,,2,11,,30,7,,9,9,,7,13,5,27,,3,,,,
2002,Idaho,67,2,,,1,,,,,,1,,1,9,9,42,13,3,6,1,,6,39,6,10,6,,,,,
2002,Illinois,295,131,5,,121,,1,1,,,7,,1,37,25,83,63,8,36,6,10,58,70,30,105,16,,1,9,,
2002,Indiana,135,60,,,55,,,1,,,4,,1,12,8,41,20,3,19,8,,22,6,21,68,1,8,,,,
2002,Iowa,217,94,2,,84,,,4,,,5,,4,18,13,61,65,6,22,8,,14,66,21,71,3,3,,,,
2002,Kansas,163,65,1,,60,,,3,,,4,,4,11,10,81,18,4,17,6,,11,46,35,64,,2,,,,
2002,Kentucky,142,64,,,54,,1,,,,9,,,11,9,41,23,,18,2,,16,22,9,88,,6,,,,
2002,Louisiana,124,80,,,75,,,,,,5,,,5,4,54,16,2,7,6,,46,16,4,58,,,,,,
2002,Maine,26,5,,,4,,,1,,,,,3,2,1,16,6,,1,1,,4,11,1,7,,3,,,,
2002,Maryland,94,49,1,,42,,,,,,6,,5,9,5,36,7,5,6,4,,14,3,24,49,,2,,,,
2002,Massachusetts,213,64,,,59,,,2,,,4,,19,37,20,74,48,8,13,6,1,18,15,30,135,,9,,1,,
2002,Michigan,205,115,4,,100,,1,4,,,6,,,20,10,55,21,5,25,17,,19,45,24,104,,10,,,,
2002,Minnesota,82,35,4,,30,,,1,,,,,2,16,6,30,9,5,13,2,6,14,13,12,36,1,,,6,,
2002,Mississippi,74,48,1,,45,,,,,,2,,,4,1,27,15,1,7,1,,8,5,11,50,,,,,,
2002,Missouri,328,162,3,,150,,,1,,,12,,1,11,7,118,38,4,36,21,1,42,42,43,186,6,2,,1,,
2002,Montana,41,7,,,4,,,1,,,2,,,2,1,23,9,1,2,1,,15,11,5,10,,,,,,
2002,Nebraska,121,42,1,,37,,,1,,,5,,2,30,28,37,17,2,9,12,,5,43,6,60,,4,,,,
2002,Nevada,74,24,5,,18,,1,,,,,,1,18,13,33,15,1,4,3,5,8,19,4,31,7,,,5,,
2002,New Hampshire,14,4,1,,3,,,,,,,,3,1,,11,2,1,,1,,5,6,,3,,,,,,
2002,New Jersey,172,83,1,,68,,,,,,14,,6,27,14,84,27,10,46,6,3,37,23,24,78,7,,2,1,,
2002,New Mexico,38,7,,,5,,,,,,2,,,6,4,24,4,,2,2,,6,7,2,23,,,,,,
2002,New York,510,200,13,,161,,,1,,,27,,27,88,50,247,77,31,83,17,4,40,57,77,296,2,33,1,3,,
2002,North Carolina,169,77,3,,72,,,,,,2,,1,17,10,61,25,3,23,7,,22,32,10,89,3,6,,,,
2002,North Dakota,36,8,2,,1,,,5,,,,,1,1,,19,9,,2,4,,8,10,1,16,,1,,,,
2002,Ohio,468,198,2,,181,1,,3,,,14,,8,16,4,147,97,10,52,62,1,65,103,61,194,,32,,1,,
2002,Oklahoma,57,24,,,19,1,,2,,,4,,,,,29,12,1,9,,,8,8,8,33,,,,,,
2002,Oregon,55,19,3,,15,,,,,,2,,,4,3,18,14,,4,2,,8,16,6,25,,,,,,
2002,Pennsylvania,254,113,2,,106,,,3,,,17,,19,36,21,72,49,13,49,13,1,23,72,18,79,7,28,,1,,
2002,Puerto Rico,18,1,,,,,,,,,1,,,3,2,9,1,1,6,,,4,5,2,7,,,,,,
2002,Rhode Island,32,15,,,15,,,,,,,,7,3,3,16,3,,4,2,,1,4,3,20,1,3,,,,
2002,South Carolina,82,41,1,,37,,,1,,,2,,1,9,7,23,12,4,13,1,,10,3,6,23,,,,,,
2002,South Dakota,25,16,,,5,,,10,,,1,,2,1,1,7,,2,1,2,,16,2,,7,,,,,,
2002,Tennessee,138,64,,,57,,,3,,,5,,,6,4,56,20,2,24,3,,16,24,8,86,,2,,,,
2002,Texas,618,239,9,,198,,,3,,,31,,8,143,119,183,109,17,62,16,1,71,156,54,302,2,4,1,,,
2002,Utah,23,7,,,7,,,,,,,,4,5,2,10,2,1,1,4,,8,4,1,10,,,,,,
2002,Vermont,23,3,,,3,,,,,,,,1,,,12,7,,1,,,3,4,2,9,,4,,,,
2002,Virginia,108,58,1,,57,,,,,,,,8,4,2,32,20,2,4,1,,22,25,4,55,1,1,,,,
2002,Washington,195,59,7,,48,,2,1,,,1,,2,40,18,84,23,8,11,18,,19,46,17,109,2,,,,,
2002,West Virginia,34,11,,,11,,,,,,,,1,2,2,14,4,,4,1,1,5,4,4,14,,5,,1,,
2002,Wisconsin,44,20,1,,17,1,,,,,1,,,2,1,16,10,2,2,1,1,8,11,7,17,,,,1,,
2002,Wyoming,29,1,1,,,,,,,,,,,2,2,16,8,,2,2,,13,6,,10,,,,,,
2002,Total,"7,813","3,111",96,0,"2,721",4,8,61,0,0,274,0,191,969,644,"2,946","1,331",205,876,391,45,"1,035","1,625",816,"3,759",70,230,7,39,0,0
2003,Alabama,81,47,,,42,2,,1,,,2,,2,1,,35,9,,14,6,,11,17,18,34,1,,,,,
2003,Alaska,10,2,,,1,,,1,,,,,,1,,5,1,,1,1,1,1,,1,7,,,,1,,
2003,Arizona,110,29,1,1,21,1,,2,,,3,,,19,15,54,5,1,6,8,,16,25,12,51,1,3,,,,
2003,Arkansas,64,34,,,31,,,,,,3,,,5,3,19,6,,4,,,8,15,2,38,1,,,,,
2003,California,941,279,8,1,230,15,1,2,,1,19,2,8,132,84,396,156,19,76,73,5,86,287,82,460,1,18,5,,,
2003,Colorado,121,46,,,39,2,,,3,,2,,3,21,16,57,14,2,6,13,,14,36,12,57,,2,,,,
